2024-05-20T17:05:26.151Z | ERROR  | URL : /api/expense/v1/user | staus : 400 | message: No expense present for the user
2024-05-20T17:05:45.085Z | ERROR  | URL : /api/expense/v1/user | staus : 400 | message: No expense present for the user
2024-05-20T17:17:58.404Z | ERROR  | URL : /api/expense/v1/user | staus : 400 | message: No expense present for the user
2024-05-20T17:19:11.673Z | ERROR  | URL : /api/expense/v1/user | staus : 400 | message: No expense present for the user
2024-05-20T17:19:23.531Z | ERROR  | URL : /api/expense/v1/user | staus : 400 | message: No expense present for the user
2024-05-20T17:21:33.946Z | ERROR  | URL : /api/expense/v1/group | staus : 400 | message: No expense present for the group
2024-05-20T17:22:31.044Z | ERROR  | URL : /api/expense/v1/user | staus : 400 | message: No expense present for the user
2024-05-20T17:22:34.269Z | ERROR  | URL : /api/expense/v1/user/recent | staus : 400 | message: No expense present for the user
2024-05-20T17:23:35.397Z | ERROR  | URL : /api/users/v1/login | staus : 401 | message: Invalid email Id or Password ! Error: Invalid email Id or Password !
    at exports.userLogin (C:\Users\dell\Desktop\SplitApp\components\user.js:66:23)
    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)
2024-05-20T17:23:46.687Z | ERROR  | URL : /api/users/v1/login | staus : 401 | message: Invalid email Id or Password ! Error: Invalid email Id or Password !
    at exports.userLogin (C:\Users\dell\Desktop\SplitApp\components\user.js:66:23)
    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)
2024-05-20T17:24:55.079Z | ERROR  | URL : /api/expense/v1/user | staus : 400 | message: No expense present for the user
2024-05-20T17:24:59.423Z | ERROR  | URL : /api/expense/v1/group | staus : 400 | message: No expense present for the group
2024-05-20T17:25:01.908Z | ERROR  | URL : /api/expense/v1/user | staus : 400 | message: No expense present for the user
2024-05-20T17:25:03.231Z | ERROR  | URL : /api/expense/v1/user/recent | staus : 400 | message: No expense present for the user
2024-05-20T17:25:05.906Z | ERROR  | URL : /api/expense/v1/user | staus : 400 | message: No expense present for the user
2024-05-20T17:25:07.228Z | ERROR  | URL : /api/expense/v1/user/recent | staus : 400 | message: No expense present for the user
2024-05-20T17:25:46.090Z | ERROR  | URL : /api/expense/v1/user | staus : 400 | message: No expense present for the user
2024-05-20T17:27:16.689Z | ERROR  | URL : /api/expense/v1/group | staus : 400 | message: No expense present for the group
2024-05-20T17:29:42.012Z | ERROR  | URL : /api/expense/v1/user | staus : 400 | message: No expense present for the user
2024-05-20T17:30:14.292Z | ERROR  | URL : /api/expense/v1/group | staus : 400 | message: No expense present for the group
2024-05-20T17:47:20.462Z | ERROR  | URL : /api/expense/v1/user | staus : 400 | message: No expense present for the user
2024-05-20T17:48:08.417Z | ERROR  | URL : /api/expense/v1/group | staus : 400 | message: No expense present for the group
2024-05-20T17:56:07.144Z | ERROR  | URL : /api/expense/v1/group | staus : 400 | message: No expense present for the group
2024-05-20T18:00:48.181Z | ERROR  | URL : /api/users/v1/updatePassword | staus : 400 | message: Old Password does not match Error: Old Password does not match
    at exports.updatePassword (C:\Users\HP\OneDrive\Desktop\exam portal\final project\final project\components\user.js:270:23)
2024-05-20T18:45:07.349Z | ERROR  | URL : /api/expense/v1/group | staus : 400 | message: No expense present for the group
2024-05-20T18:45:55.702Z | ERROR  | URL : /api/group/v1/settlement | staus : undefined | message: Maximum call stack size exceeded
2024-05-20T18:46:00.270Z | ERROR  | URL : /api/group/v1/settlement | staus : undefined | message: Maximum call stack size exceeded
2024-05-20T18:46:08.704Z | ERROR  | URL : /api/group/v1/settlement | staus : undefined | message: Maximum call stack size exceeded
2024-05-20T18:46:41.281Z | ERROR  | URL : /api/group/v1/settlement | staus : undefined | message: Maximum call stack size exceeded
2024-05-20T18:49:07.721Z | ERROR  | URL : /api/group/v1/settlement | staus : undefined | message: Maximum call stack size exceeded
2024-05-20T18:50:24.937Z | ERROR  | URL : /api/group/v1/settlement | staus : undefined | message: Maximum call stack size exceeded
2024-05-20T18:50:29.907Z | ERROR  | URL : /api/group/v1/settlement | staus : undefined | message: Maximum call stack size exceeded
2024-05-20T18:50:33.596Z | ERROR  | URL : /api/group/v1/settlement | staus : undefined | message: Maximum call stack size exceeded
2024-05-20T18:52:18.604Z | ERROR  | URL : /api/group/v1/settlement | staus : undefined | message: Maximum call stack size exceeded
